FID,ID,NAME,Shape_Leng,Shape_Area
0,1.000000000000000,Green River Area,412998.479402999975719,7330082980.369999885559082
1,1.000000000000000,Henry Mountains Area,450852.600197000021581,9072728010.909999847412109
2,0.000000000000000,San Rafael Swell Area,311202.769733000022825,5489011841.659999847412109
3,0.000000000000000,Uinta Area,304194.477208000025712,4771350632.140000343322754
4,0.000000000000000,Moab Area,338463.639296000008471,3353635002.860000133514404
5,0.000000000000000,White Canyon Area,254948.079460000008112,3517367237.710000038146973
6,0.000000000000000,Paradox Area,110594.458532999997260,482633059.589999973773956
7,0.000000000000000,Paria Area,134613.077067000005627,823261718.453999996185303
8,0.000000000000000,Slick Rock Area,37405.313293400002294,49707944.734099999070168
9,0.000000000000000,Thompson Area,218058.788069000001997,1509414207.589999914169312
10,0.000000000000000,Gateway Area,143488.825279000011506,832612472.360999941825867
11,0.000000000000000,Kaiparowits Area,127753.585686000005808,549777064.353999972343445
12,0.000000000000000,Monument Valley Area,293929.285567999992054,1401191817.700000047683716
13,0.000000000000000,Monticello Area,365645.317717999976594,5667376977.170000076293945
14,0.000000000000000,Kolob Terrace,167632.641413000004832,1502706387.869999885559082
