FID,ZID,REC_NO,REC_TYPE,DEP_NUM,REP_DATE,INFO_SRC,FIL_LINK,REP,REP_AFF,SYN,DIST,COUNTY,STATE,COUNTRY,PHYS,DRAIN,LAND_ST,QUAD1,Q1_SCALE,QUAD2,Q2_SCALE,ELEV,UTM_N,UTM_E,UTM_Z,ACC,TOWNSHIP,RANGE,SECTION,SECT_FRACT,MERIDIAN,POSITION,LOCATION,SITE_NAME,LAT,LONG,COMMOD,ORE_MAT,COM_SUB,GEN_ANAL,COM_INFO,MAJOR,MINOR,POTEN,OCCUR,NP_MAIN,NP_MINOR,PROD,LOCAL_STRU,STATUS,DISC,YR_DISC,NAT_DISC,YR_1ST_PRO,YR_LAST_PR,OWNER,OPER,EXPL_COM,DEP_TYPE,DEP_FORM,DEPTH_TOP,DEP_T_U,DEPTH_BOT,DEP_B_U,MAX_LEN,M_L_U,MAX_WID,M_W_U,MAX_THICK,M_T_U,DEP_SIZE,STRIKE,DIP,PLUNGE_DIR,PLUNGE,DEP_DESC_C,DEPTH_WK,D_WK_U,LEN_WK,L_WK_U,OV_LEN_WK,O_L_U,OV_WID_WK,O_W_U,OV_AREA_WK,O_A_U,DESC_WORK_,HR_AGE,HR_TYPE,IG_AGE,IG_TYPE,MIN_AGE,NON_ORE_MI,ORE_CNTL,TECT_SET,REG_STRUCT,ALTER_,CONC,FORM_AGE,FORM_NAME,FORM2_AGE,FORM2_NAME,IG_UNIT_AG,IG_UNIT_NA,IG2_UNIT_A,IG2_UNIT_N,GEOL_COM,GEN_COM,RF1,RF2,RF3,RF4,DESC_WORK,AP_ITEM,AP_ACC,AP_AMT,AP_U,AP_YEAR,AP_GRADE,CP_ITEM,CP_ACC,CP_AMT,CP_U,CP_YEAR,CP_GRADE,P_SOURCE,P_COM,RPR_ITEM,RPR_ACC,RPR_AMT,RPR_U,RPR_YEAR,RPR_GRADE,RPR_SOURCE,RPR_COM,R_ITEM,R_ACC,R_AMT,R_U,R_YEAR,R_GRADE,R_SOURCE,R_COM,PR_ITEM,PR_ACC,PR_AMT,PR_U,PR_YEAR,PR_GRADE,PR_SOURCE,PR_COM,REF
0,1092,DC13173,X1B,23-GRANITE MTN-3,74 06,3,BLM, ,USGS,WHITE CLOUD CLAIM; HONEYCOMB #2; 3,HONEYCOMB HILLS,JUAB,UT,US,12 MIDDLE RANGE,16 WHITE VALLEY,49,GRANITE MTN (1960),62500, ,0,5200 FT,4398050,278450,12,UNKNOWN PR,013S,015W,07, ,SALT LAKE,E CENT HONEYCOMB HILLS,SECTION SUBDIVISIONS SW 1/4 NE 1/4,YELLOW BIRD CLAIM,39-42-20N,113-35-03W,BE U F,AUTUNITE; BETA URANOPHANE, ,WHOLE ROCK CHEM ASSAY RANGED FROM 0.14% BEO IN THE ORANGE TUFF TO 2.36% BEO IN RED TUFF. PINK TUFF RANGED FROM 0.22-0.97% BEO SAMPLES WERE NOT ASSAYED FOR U3O8., , , ,BE,U F, , ,Y, ,3, ,1950,B, , ,DOW CHEMICAL CO (1961), ,URANIUM WAS DISCOVERED IN 1950; AND BERYLLIUM IN MARCH 1961 BY C R SEWELL GEOLOGIST OF DOW CHEM CO. DOW NEGOTIATED LEASE OPTIONS WITH OWNERS AND CONDUCTED MAPPING; TRENCHING & DRILLING FROM MARCH TO AUGUST 1961.,BEDDED VOLCANIC TUFF,BLANKET, ,FT,150,FT,SEV HUND,FT,SEV HUND,FT,150.0,FT,SMALL, , , , , , , , , , , , , , , ,BULLDOZER WORK CONSISTING OF TRENCHES; ROADS; AND DRILL SITE PREPARATION WAS COMPLETED IN AUG 1961. FIFTEEN HOLES WERE DRILLED WITH A TOTAL FOOTAGE OF 2;930 FT,TERT,RHYOLITE & LATITE; UNDERLAIN BY LAYERS OF TUFF; CONGLOMERATE TUFF; AND RHYO, , ,TERT,QUARTZ; K-FELSPAR; LATE CALCITE, ,SEVIER OROGENIC BELT,BASIN & RANGE, ,BE DERIVED FROM F RICH SOLUTIONS GIVEN OFF FROM RHYOLITIC MAGMA WITH BE; MN; U & OTHER ELEMENTS BEIN,ýPAL,PLIE LAKE BONNEVILLE DEPOSITS ýLIMESTONE (SUBSURFACE), , ,TERT,RHYOLITE TUFF, , ,THE SAMPLE FROM THE RED TUFF WHICH CONTAINED ANOMOLOUS AMOUNTS OF BEO ALSO HAD A HIGH PERCENTAGE OF THE ZEOLITE MINERAL PHILLIPSITE (25%). A CORELATION MAY EXIST BETWEEN ZEOLITES & BEO & U CONTENT,X-RAY DIFFRACTION ANALYSIS REVEALED NO EVIDENCE OF A CRYSTALLINE MINERAL OTHER THAN FLUORITE. ASSAYS DID REVEAL ABNORMAL QUANTITIES OF CESIUM; RUBIDIUM; & LITHIUM.,MONTOYA; J W; BAUR; G S; & WILSON; S R; 1963; MIN INVEST OF BE-BEARING TUFF; HONEYCOMB HILLS; JUAB CO; UT: USBM RI 6408; 11 P.,STAATZ; M H; & BAUER; H L; JR; PRELIM EXAMIN OF URANIUM PROSPECT AT THE SPIDER #1 CLAIM; HONEYCOMB HILLS; JUAB CO; UT: US AEC RPT TEM-165; 1950,MCANULTY; W N & LEVINSON; A A; 1964; RARE ALKALI & BE MIN IN VOL TUFFS; HONEYCOMB HILLS; JUAB CO; UT: ECON GEOL V 59; P 768-774,CONSV. DIV. COMP. DATE; 01-08-1971,B, , , , , , ,U ACC, ,0.00100,TONS,PRE-1956; .1, ,EVERTS; M L; 1980; ON SITE INVESTIGATION: UTAH GEOL AND MINERAL SUR, , , , , , , , , , , , , , , , , , , , , , , , , ,0
1,4645,DB01831,X1N,025-CLEAR CREEK MOUNTAIN-013,78 12,13,BLM,DOELLING HELLMUT H.,UGMS, ,ORDERVILLE CANYON AREA,KANE,UT,US,11 GRAY CLIFFS-GRAND STAIRCASE,15 VIRGIN RIVER,49,CLEAR CREEK MOUNTAIN,24000,CEDAR CITY,250000,6500 FT,4134250,335130,12, ,040S,009W,09 08,NW OF SW OF SW 09,SALT LAKE,1 1/2 MILES SW OF TABLE BENCH POINT QUAD PREVIOUSLY ORDERVILLE CANYON SE, ,BULLOCH CLAIM,37-20-30N,112-51-30W,U V,CARNOTITE TYUYAMUNITE AUTUNITE, , , , , ,U V, , , ,N, ,2, , ,B, , ,HENRY BULLOCH-CEDAR CITY,EXXON CORP, ,SANDSTONE U,DISCONTINUOUS ORE IN TABULAR BODY, ,FT,500,FT,1000,FT, , ,5,FT,SMALL, , , , , , , , , , , , , , , , ,CRET,CLAY SANDSTONE CONGLOMERATE PETRIFIED LOGS, , , ,LIMONITE,CARBON TRASH CLAY GALLS BASE OF CHANNEL,ROCKY MT. UNSTABLE FORELAND, ,BLEACHING IN CLAY,GROUND WATER SOLUTIONS,CRET,DAKOTA FM, , , , , , ,MINERALIZATION IS NEAR BASE OF DAKOTA FM, ,BERONI E. P. ET AL 1953  URANIUM DEPOSITS OF THE BULLOCH GROUP OF CLAIMS KANE COUNTY UTAH: USGS CIRCULAR 239 ., , , , , , , , , , , , , , , , , , ,ORE U,SML, , ,1978,LOW GRADE,DOELLING H. H. 1978  UTAH GEOL. AND MINERALOG. SURVEY ON-SITE INVESTIGATION, , , , , , , , , , , , , , , , , ,0
2,10182,W027044,X1N,37 - OLJETO - 3,77 06, ,BLM,TRIMBLE; LARRY M.,UGS, ,MONUMENT VALLEY,SAN JUAN,UT,US,11 MONUMENT VALLEY,14 SAN JUAN RIVER BASIN,47,OLJETO, ,ESCALANTE,250000,5560 FT,4096980,565830,12,UNKNOWN PR,043S,015E,28, ,SALT LAKE,APPROXIMATELY 3.35 MILES SOUTHEAST OF BM 4838; 1.7 MILES NORTHEAST OF ANVIL ROCK,SECTION SUBDIVISION: NW 1/4; NW 1/4; SE 1/4; SEC. 28,SKYLINE ROAD,37-01-07N,110-15-36W,U CU, , , , , , , ,U CU, , ,N, ,2, , ,B, , ,NAVAJO TRIBE, , ,BEDDED,LENS,40,FT,40,FT,20,FT,10,FT,1.00,FT,SMALL,N 10 DEG E,1 DEG NW, , , ,40,FT,15,FT, , , , , , , ,TRI,SANDSTONE; CONGLOMERATE, , , , ,PALEOCHANNEL,STABLE PLATFORM, , , ,TRI,SHINARUMP MEMBER OF CHINLE FM., , , , , , , , ,TRIMBLE; D. E.; LEWIS; R. Q. SR.; 1959; GEOLOGY AND URANIUM DEPOSITS OF MONUMENT VALLEY; SAN JUAN CO.; UTAH; USGS BULL. 1087-D.,GUIDEBOOK TO URANIUM DEPOSITS OF WESTERN U.S.; USAEC; 1959, , ,U, , , , , , , , , , , , , , , , , , , , ,TRIMBLE; L. M.; 1977,NO RESERVES, , , , , , , , , , , , , , , , ,0
3,10583,W028475,X1N,37 - OLJETO - 2,77 07, ,BLM,TRIMBLE; LARRY M., , ,MONUMENT VALLEY DISTRICT,SAN JUAN,UT,US,11 MONUMENT VALLEY,14 SAN JUAN RIVER BASIN, ,OLJETO, ,ESCALANTE,250000,5460,4096820,566080,12, ,043S,015E,28, ,SALT LAKE,3.65 MILES SE OF BM 4838; 1.9 MILES NE OF ANVIL ROCK,SECTION SUBDIVISION: SE 1/4; NW 1/4; SE 1/4; SECTION 28,TOM HOLLIDAY PROSPECT,37-01-07N,110-15-36W,U, , , , , , , ,U, , ,N, ,1, , ,B, , ,NAVAJO TRIBE, , , , , , , , , , , , , , ,SMALL,N 20 DEG E,1 DEG W, , , , , , , ,30,FT,10,FT,300,SQ FT, ,TRI,CONGLOMERATE; SANDSTONE; SILTSTONE, , , , , ,STABLE PLATFORM, , , ,JUR,MORRISON FM, , , , , , , , ,TRIMBLE; D. E.; LEWIS; R. Q. SR.; 1959; GEOLOGY AND URANIUM DEPOSITS OF MONUMENT VALLEY; SAN JUAN CO.; UTAH; USGS BULL. 1087 - D,GUIDEBOOK TO URANIUM DEPOSITS OF WESTERN U.S.; USAEC 1959, , ,S, , , , , , , , , , , , , , , , , , , , ,NO RESERVES,TRIMBLE; L. M.; 1977, , , , , , , , , , , , , , , , ,0
4,10183,W027045,X1N,37 - OLJETO - 5,77 06, ,BLM,TRIMBLE; LARRY M.,UGS, ,MONUMENT VALLEY,SAN JUAN,UT,US,11 MONUMENT VALLEY,14 SAN JUAN RIVER BASIN,47,OLJETO, ,ESCALANTE,250000,5600 FT,4095600,557410,12,UNKNOWN PR,043S,014E,34, ,SALT LAKE,2.9 MILES SW OF BM 4838; .8 MILES EAST OF HOSKINNINI MESA.,SECTION SUBDIVISION: SW 1/4; SE 1/4; NW 1/4; SEC. 34,MONUMENT 3,37-01-05N,110-19-13W,U CU,TYUYAMUNITE; MALACHITE, , , , , , ,U CU, , ,N, ,2, , ,B, , ,NAVAJO TRIBE, , ,BEDDED,LENS,75,FT,75,FT,15,FT,10,FT,3.00,IN,SMALL,N 5 DEG E,5 DEG SE, , , ,75,FT,12,FT, , , , , , ,SHORT PROSPECT ADIT,TRI,SANDSTONE; CONGLOMERATE, , , , ,PALEOCHANNELS,STABLE PLATFORM, , , ,TRI,SHINARUMP MEMBER OF CHINLE FM., , , , , , , , ,EVENSEN; C. G.; AND GRAY; I. B.; 1958; EVALUATION OF URANIUM ORE GUIDES; MONUMENT VALLEY; ARIZONA AND UTAH ECONOMIC GEOLOGY; V. 53; NO. 6; SEPT. - OCT.; P 639 - 662.,GUIDEBOOK TO URANIUM DEPOSITS OF WESTERN U.S.; USAEC; 1959, , ,U, , , , , , , , , , , , , , , , , , , , ,TRIMBLE; L. M.; 1977,NO RESERVES, , , , , , , , , , , , , , , , ,0
5,10492,W027796,X1N,37 NATURAL BRIDGES 48,77 11, ,B.L.M. - U,JONES; HAROLD H., , ,WHITE CANYON DISTRICT; RED CANYON AREA,SAN JUAN,UT,US,11 INNER CANYONLANDS,14 COLORADO RIVER BASIN BELOW GREEN RIVER - SAN JUAN RIVER,49,NATURAL BRIDGES, ,ESCALANTE,250000,5160 FT,4158760,566850,12,UNKNOWN PR,037S,015E, , ,SALT LAKE,6.5 MILES SW OF FRY SPRING,UNSURVEYED SECTION 15,GEORGE H. GROUP,37-34-31N,110-14-35W,U,URANINITE, , , ,U, , , , , ,N, ,2, , , , , , , ,EXTENT AND RESULTS OF DRILLING TO NW UNKNOWN, , ,8,FT,25,FT, , , , ,3.00,FT,SML,N 10 DEG W,2 DEG W, , , ,18,FT,66,FT, , , , , , ,EXPLORATION ADIT - 3 FT SANDSTONE LENS,TRI,SANDSTONE CONGLOMERATE MUDSTONE, , , , ,PALEOCHANNELS,STABLE PLATFORM, ,BLEACHING IN MUDSTONE, ,TRI,CHINLE FORMATION; SHINARUMP MEMBER, , , , , , , , ,THADEN; R. E.; TRITES; A. F.; AND FINNELL; T. L.; 1964 ; GEOLOGY AND ORE DEPOSITS OF THE WHITE CANYON AREA; SAN JUAN AND GARFIELD CO.; UTAH; U.S.G.S. BULL 1125,FINNELL; T. L.; FRANKS; P. C.; AND HUBBARD; H. A.; 1963 ; GEOLOGY; ORE DEPOSITS AND EXPLORATORY DRILLING IN THE DEER FLAT AREA; WHITE CANYON DIST.; SAN JUAN CO.; UTAH; U.S.G.S. BULL 1132, , ,U, , , , , , , , , , , , , , ,ORE U,LGE, , ,1973,0.1 % U3O8,UGMS STUDY; 1973, , , , , , , , , , , , , , , , , ,0
6,10256,W027377,X1N,37 - MT. LINNAEUS 10,77 10, ,BLM - U. S,JONES; HAROLD H.,UGS, ,COTTONWOOD WASH AREA,SAN JUAN,UT,US,11 MONUMENT UPWARP,14 SAN JUAN RIVER BASIN,41,MT. LINNAEUS, ,MT LINNAEUS,62500,8680 FT,4183430,612910,12,UNKNOWN PR,034S,020E,27 28, ,SALT LAKE,3.8 MILES SSE FROM ROUND MTN.,LOCATED IN UNSURVEYED AREA,UNKNOWN,37-47-35N,109-43-03W,U CU,MALACHITE, , , , , ,U,CU, , ,N, ,2, , ,B, , , , , ,DISSEMINATED; REPLACEMENT,TABULAR, , , , , , , , , , ,SMALL,N 20 DEG W,9 DEG E, , ,LOW GRADE MINERALIZATION DIMENSIONS UNKNOWN,100,FT,180,FT, , , , , , , ,TRI,SANDSTONE, , , , , ,STABLE PLATFORM, ,BLEACHING IN MUDSTONES, ,TRI,CHINLE FORMATION; SHINARUMP MEMBER?, , , , , , , , ,WITKIND; I. J.; 1964 ; GEOLOGY OF THE ABAJO MTNS. AREA; SAN JUAN CO.; UTAH; U. S. G. S.; PP 453,LEWIS; R. Q.; CAMPBELL; R. H.; 1965 ; GEOLOGY AND URANIUM DEPOSITS OF ELK RIDGE AND VICINITY; SAN JUAN CO.; UTAH; U. S. G. S.; PP 474 - B., , ,U, , , , , , , , , , , , , , , , , , , , ,JONES; HAROLD; 1977,RESERVES ARE VERY LOW GRADE, , , , , , , , , , , , , , , , ,0
7,10262,W027383,X1N,37 MT. LINNAEUS - 3,77 10, ,BLM - U. S,JONES; HAROLD H.,UGS, ,COTTONWOOD WASH AREA,SAN JUAN,UT,US,11 MONUMENT UPWARP,14 SAN JUAN RIVER BASIN,41,MT. LINNAEUS, ,MT LINNAEUS,62500,6310 FT,4179750,614500,12,UNKNOWN PR,035S,020E,02, ,SALT LAKE,6.3 MILES SSW FROM ROUND MTN.,SECTION SUBDIVISIONS: NW 1/4 SW 1/4 SW 1/4 SEC. 2,MORRISON MINE,37-45-35N,109-42-01W,U V, , ,SELECTED GRAB FROM STOCKPILE - .756 % U3O8 ; .009 % V2O5, ,V,U, , , , ,N, ,2,JOE MORRISON,1956,B, , ,A. A. AND A. F. ROCKWELL,JOE MORRISON, , , , , , , , , , , , , ,SMALL,N 20 DEG W,6 DEG NE, , ,ORE BODY INACCESSABLE - DUE TO UNSTABLE GROUND AND FLOODING,75,FT,350,FT, , , , , , ,LOWER PART OF WORKING FLOODED UNSTABLE ROCK; SOME CAVING.,TRI,SANDSTONE; MUDSTONE, , , , , ,STABLE PLATFORM,COMB MONCLINE, , ,TRI,CHINLE FORMATION, , , , , , , ,30 TONS OF STOCK PILED ORE - GROUND UNSTABLE - ROCK FALLS FROM BACK IN MOST AREA OF MINE,WITKIND; I. J.; 1964 ; GEOLOGY OF THE ABAJO MTNS. AREA; SAN JUAN CO.; UTAH; U. S. G. S.; PP 453,LEWIS; R. Q.; CAMPBELL; R. H.; 1965 ; GEOLOGY AND URANIUM DEPOSITS OF ELK RIDGE AND VICINITY; SAN JUAN CO.; UTAH; U. S. G. S.; PP 474 - B., , ,U, , , , , , , , , , , , , , ,ORE U,EST,0.03000,ST, ,EST. .05 % U3O8, , , , , , , , , , , , , , , , , , ,0
8,10185,W027047,X1N,37 - OLJETO - 7,77 06, ,BLM,TRIMBLE; LARRY M.,UGS, ,MONUMENT VALLEY,SAN JUAN,UT,US,11 MONUMENT VALLEY,14 SAN JUAN RIVER BASIN, ,OLJETO, ,ESCALANTE,250000,5180 FT,4099520,559090,12,UNKNOWN PR,043S,014E,14, ,SALT LAKE,1.15 MILES NW OF BM 4838; 3.35 MILES EAST OF HOSKINNINI MESA,SECTION SUBDIVISION: SW 1/4; SE 1/4; SW 1/4; SEC. 14,MITTEN #3,37-02-31N,110-20-08W,U, , , , , , ,U, , , ,N, ,2, , ,B, , ,NAVAJO TRIBE, , , , , , , , , , , , , , , ,N 75 DEG E,5 DEG NW, , ,ADIT IS FLOODED AND DEPOSIT COULD NOT BE SEEN,90,FT,200,FT, , , , , , ,LENGTH OF WORKINGS IS FROM PORTAL TO FLOODED AREA.,TRI,SANDSTONE; MUDSTONE, , , , , ,STABLE PLATFORM, ,SOME BLEACHING IN MUDSTONE, ,TRI ýTRI,SHINARUMP MEMBER OF CHINLE FM. ýMOENKOPI FORMATION, , , , , , , , ,EVENSEN; C. G.; AND GRAY; I. B.; 1958; EVALUATION OF URANIUM ORE GUIDES; MONUMENT VALLEY; ARIZONA AND UTAH; ECONOMIC GEOLOGY; V. 53; NO. 6; SEPT. - OCT.; P 639 - 662.,GUIDEBOOK TO URANIUM DEPOSITS OF WESTERN U.S.; USAEC. 1959, , ,U, , , , , , , , , , , , , , , , , , , , ,TRIMBLE L. M.; 1977,RESERVES UNKNOWN, , , , , , , , , , , , , , , , ,0
9,8306,DB00232,X1M,47-PARIETTE DRAW SW-5,78 03, ,BLM,MCCARTHY; BLAIR M.,UGS, , ,UINTAH,UT,US,11 UINTA BASIN,14 GREEN RIVER BASIN BELOW THE WHITE RIVER,49,PARIETTE DRAW SW,24000, ,0,4880 FT,4435650,593620,12, ,008S,018E,33, ,SALT LAKE,1.1 MILES ENE CASTLE PEAK, ,UNKNOWN,40-04-04N,109-54-08W,CU U,MALACHITE; URANINITE (?), , , , , , ,CU U, , ,N, ,2, , ,B, , , , , ,DISSEMINATED,LENTICULAR, ,FT,6.0,FT,30.000,YD,20.00,YD,18,IN,SMALL, , , , , , , , , ,60,FT,10,FT,600,SQ FT,DOZER CUT,EO,SANDSTONE, , , , , ,STABLE PLATFORM, , ,GROUND WATER SOLUTIONS,EO,UINTA FM, , , , , , , , , , , , ,S, , , , , , , , , , , , , , ,ORE CU ýORE U,SMLýSML, , ,1978ý1978,LOW GRADE ýLOW GRADE,MC CARTHY; B. M.; 1978, , , , , , , , , , , , , , , , , ,0
10,8262,M057656,X1N, ,79 05,1, ,WONG; GEORGE; TOOKER; ED., , ,CASTLE PEAK DRAW,UINTAH,UT,US, , , ,PARIETTE DRAW SW,24000, ,0,4850 FT,4435642,593624,12, ,008S,018E,33, ,SALT LAKE,SW 1/4 OF SECT. 33, ,EUREKA 2,40-04-04N,109-54-08W,U, , , , , , , ,U,U, ,N, ,2, , , , , , , , ,PENECONCORDANT,LENS, , , , , , , , , , ,SMALL, , , , , , , , , , , , , , , , ,LEO,UINTA FM, , , , , , , , , , , , , , , , , ,URANIUM MINERALS ASSOCIATED WITH COPPER MINERALS AND CARBONACEOUS MATERIAL IN SANDSTONE LENS., ,DASCH; M.D.; 1967 ; URANIUM DEP OF NE & W UTAH: UTAH GEOL SOC GUIDEBOOK #21 ; P 115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
