,PRIMARYSIC
0,2911
1,2511
2,5171
3,2911
18,2873
20,3312
27,2591
31,2865
32,3312
37,2865
49,3339
67,9711
69,2890
91,2591
99,4953
113,5169
114,3479
116,3324
125,2819
126,3949
127,3331
128,2875
129,3672
130,1099
131,3331
132,3949
133,3674
134,4911
138,3471
139,1021
145,2813
146,3356
148,3674
150,2841
151,3479
154,3471
155,2038
157,3671
159,3354
160,3679
173,3441
203,3111
206,2026
244,3764
247,2892
255,3911
262,3842
263,3842
265,3079
273,2824
274,2821
275,9711
277,2824
278,2869
280,3088
309,2541
313,2821
315,3443
319,2819
333,3443
335,3498
339,3844
340,3321
341,3324
342,3441
346,3599
347,3714
349,3321
355,3498.0
359,3599
360,3494
361,3320
363,3433
372,3325
373,3317
387,3313
389,3714
395,3444
418,3315
426,3499
433,3357
436,3679
441,3672.0
551,3296
554,3296
593,INVA
595,3061
628,3841
646,2434
649,3061
656,3356
658,2434
699,3069
743,3089
744,3581
745,3792
750,3085
752,3792
753,3089
754,3581
758,3643
771,3799
772,3083
825,3083
838,2851
