chemicalname,parametername,latitude,longitude,countyname,first_year,last_year,casnumber,countycode,parametercode
ETHYLBENZENE,ETHYLBENZENE,40.902966,-111.88447,DAVIS,1996,2019,100-41-4,011,45203
ETHYLBENZENE,ETHYLBENZENE,40.886391,-111.88223,DAVIS,1996,2019,100-41-4,011,45203
ETHYLBENZENE,ETHYLBENZENE,40.704445,-111.96861,SALT LAKE,1999,2002,100-41-4,035,45203
STYRENE,STYRENE,40.886391,-111.88223,DAVIS,1996,2019,100-42-5,011,45220
STYRENE,STYRENE,40.902966,-111.88447,DAVIS,1996,2019,100-42-5,011,45220
STYRENE,STYRENE,40.704445,-111.96861,SALT LAKE,1999,2002,100-42-5,035,45220
"1,2-DIBROMOETHANE",ETHYLENE DIBROMIDE,40.886391,-111.88223,DAVIS,2003,2019,106-93-4,011,43843
"1,2-DIBROMOETHANE",ETHYLENE DIBROMIDE,40.902966,-111.88447,DAVIS,2003,2019,106-93-4,011,43843
"1,2-DIBROMOETHANE",ETHYLENE DIBROMIDE,40.704445,-111.96861,SALT LAKE,1999,2002,106-93-4,035,43843
"1,3-BUTADIENE","1,3-BUTADIENE",40.902966,-111.88447,DAVIS,1996,2019,106-99-0,011,43218
"1,3-BUTADIENE","1,3-BUTADIENE",40.886391,-111.88223,DAVIS,1996,2019,106-99-0,011,43218
"1,3-BUTADIENE","1,3-BUTADIENE",40.704445,-111.96861,SALT LAKE,1999,2002,106-99-0,035,43218
"1,2-DICHLOROETHANE",ETHYLENE DICHLORIDE,40.886391,-111.88223,DAVIS,2003,2019,107-06-2,011,43815
"1,2-DICHLOROETHANE",ETHYLENE DICHLORIDE,40.902966,-111.88447,DAVIS,2003,2019,107-06-2,011,43815
"1,2-DICHLOROETHANE",ETHYLENE DICHLORIDE,40.704445,-111.96861,SALT LAKE,1999,2002,107-06-2,035,43815
METHYL ISOBUTYL KETONE,METHYL ISOBUTYL KETONE,40.902966,-111.88447,DAVIS,2003,2019,108-10-1,011,43560
METHYL ISOBUTYL KETONE,METHYL ISOBUTYL KETONE,40.886391,-111.88223,DAVIS,2003,2019,108-10-1,011,43560
METHYL ISOBUTYL KETONE,METHYL ISOBUTYL KETONE,40.704445,-111.96861,SALT LAKE,1999,2002,108-10-1,035,43560
TETRACHLOROETHYLENE,TETRACHLOROETHYLENE,40.902966,-111.88447,DAVIS,2003,2019,127-18-4,011,43817
TETRACHLOROETHYLENE,TETRACHLOROETHYLENE,40.886391,-111.88223,DAVIS,2003,2019,127-18-4,011,43817
TETRACHLOROETHYLENE,TETRACHLOROETHYLENE,40.704445,-111.96861,SALT LAKE,1999,2002,127-18-4,035,43817
FORMALDEHYDE,FORMALDEHYDE,40.902966,-111.88447,DAVIS,2003,2019,50-00-0,011,43502
FORMALDEHYDE,FORMALDEHYDE,40.886391,-111.88223,DAVIS,2003,2019,50-00-0,011,43502
FORMALDEHYDE,FORMALDEHYDE,40.736389,-111.87222,SALT LAKE,1999,2019,50-00-0,035,43502
FORMALDEHYDE,FORMALDEHYDE,40.704445,-111.96861,SALT LAKE,1999,2019,50-00-0,035,43502
CHLOROFORM,CHLOROFORM,40.886391,-111.88223,DAVIS,2003,2019,67-66-3,011,43803
CHLOROFORM,CHLOROFORM,40.902966,-111.88447,DAVIS,2003,2019,67-66-3,011,43803
CHLOROFORM,CHLOROFORM,40.704445,-111.96861,SALT LAKE,1999,2002,67-66-3,035,43803
BENZENE,BENZENE,40.886391,-111.88223,DAVIS,1996,2019,71-43-2,011,45201
BENZENE,BENZENE,40.902966,-111.88447,DAVIS,1996,2019,71-43-2,011,45201
BENZENE,BENZENE,40.704445,-111.96861,SALT LAKE,1999,2002,71-43-2,035,45201
LEAD,LEAD PM2.5 LC,41.842648,-111.8522,CACHE,2018,2019,7439-92-1,005,88128
LEAD,LEAD (TSP) STP,40.886391,-111.88223,DAVIS,1983,2003,7439-92-1,011,12128
LEAD,LEAD (TSP) STP,40.902966,-111.88447,DAVIS,1983,2003,7439-92-1,011,12128
LEAD,LEAD PM10 STP,40.902966,-111.88447,DAVIS,2003,2019,7439-92-1,011,82128
LEAD,LEAD PM10 STP,40.886391,-111.88223,DAVIS,2003,2019,7439-92-1,011,82128
