,Group,YEAR,TRIFD,FRSID,FACILITYNAME,CITY,COUNTY,ST,ZIP,LATITUDE,LONGITUDE,INDUSTRYSECTORCODE,INDUSTRYSECTOR,CHEMICAL,CAS#/COMPOUNDID,METAL,CARCINOGEN,UNITOFMEASURE,51-FUGITIVEAIR,52-STACKAIR,PRIMARYSIC,INDUSTRYSECTORCODE,88-ONE-TIMERELEASE,PRODUCTIONWSTE(81-87),sumer
570,1,1990,84409LVLRN1330W,110009506766,LEVOLOR-KIRSCH WINDOW FASHIONS,OGDEN,WEBER,UT,84401,41.20515,-112.01262,337,Furniture,FORMALDEHYDE,000050000,NO,YES,Pounds,250.0,250.0,2591,337,,0.0,1
531,1,1990,84057GNVST1600W,110000468985,GENEVA STEEL LLC,VINEYARD,UTAH,UT,84058,40.297058,-111.734076,331,Primary Metals,BENZENE,000071432,NO,YES,Pounds,84964.0,0.0,3312,331,,0.0,1
532,1,1990,84116CHVRN2351N,110000469485,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,SALT LAKE CITY,SALT LAKE,UT,84116,40.8249,-111.9238,324,Petroleum,BENZENE,000071432,NO,YES,Pounds,43000.0,23000.0,2911,324,,0.0,1
533,1,1990,84103MCLCM474WE,110000469243,TESORO REFINING & MARKETING COMPANY LLC - SLC,SALT LAKE CITY,SALT LAKE,UT,84103,40.7889,-111.90441000000001,324,Petroleum,BENZENE,000071432,NO,YES,Pounds,6770.0,6284.0,2911,324,,0.0,1
534,1,1990,84066PNNZLWESTH,110000913218,PENNZOIL PRODUCTS CO ROOSEVELT REFINERY,ROOSEVELT,DUCHESNE,UT,84066,40.388555,-110.12491000000001,324,Petroleum,BENZENE,000071432,NO,YES,Pounds,640.0,20000.0,2911,324,,0.0,1
535,1,1990,84087CRYSN2355S,110000499069,SILVER EAGLE REFINING WOODS CROSS,WOODS CROSS,DAVIS,UT,84087,40.86631,-111.91187,324,Petroleum,BENZENE,000071432,NO,YES,Pounds,750.0,250.0,2911,324,,0.0,1
536,1,1990,84087PHLLP393SO,110000469136,HOLLYFRONTIER WOODS CROSS REFINING LLC,WOODS CROSS,DAVIS,UT,84087,40.886022,-111.90475900000001,324,Petroleum,BENZENE,000071432,NO,YES,Pounds,5139.0,746.0,2911,324,,0.0,1
537,1,1990,84054BGWST333WE,110000468921,BIG WEST OIL LLC,NORTH SALT LAKE,DAVIS,UT,84054,40.838386,-111.921443,324,Petroleum,BENZENE,000071432,NO,YES,Pounds,1720.0,250.0,2911,324,,0.0,1
538,1,1990,84606RLLYN2555S,110002380520,REILLY INDUSTRIES INC,PROVO,UTAH,UT,84606,40.233755,-111.658456,325,Chemicals,BENZENE,000071432,NO,YES,Pounds,265.0,1326.0,2865,325,,0.0,1
306,2A,1990,84044HRCLS6800W,110020094351,HEXCEL CORP,WEST VALLEY CITY,SALT LAKE,UT,84119,40.653604,-112.054074,335,Electrical Equipment,DICHLOROMETHANE,000075092,NO,YES,Pounds,0.0,1419187.0,2824,335,,0.0,1
307,2A,1990,84016FBLLNPOBOX,110008061284,FABALL ENTERPRISES OF UTAH,CLEARFIELD,DAVIS,UT,84016,41.093219,-112.028221,339,Miscellaneous Manufacturing,DICHLOROMETHANE,000075092,NO,YES,Pounds,36000.0,0.0,3949,339,,0.0,1
308,2A,1990,84044HRCLS4950S,110002380254,ATK LAUNCH SYSTEMS-BACCHUS,MAGNA,SALT LAKE,UT,84044,40.668325,-112.091908,334,Computers and Electronic Products,DICHLOROMETHANE,000075092,NO,YES,Pounds,4933.0,5.0,3674,334,,0.0,1
309,2A,1990,84401HRCND200WE,110002272549,HURCO INDUSTRIES,OGDEN,WEBER,UT,84401,41.20345,-111.98239,337,Furniture,DICHLOROMETHANE,000075092,NO,YES,Pounds,7247.0,8537.0,2541,337,,0.0,1
310,2A,1990,84119VRMXN660WE,110000744017,VERMAX,SALT LAKE CITY,SALT LAKE,UT,84119,40.69384,-111.89586000000001,325,Chemicals,DICHLOROMETHANE,000075092,NO,YES,Pounds,250.0,0.0,2821,325,,0.0,1
270,1,1990,84123BBTTC4455A,110001885201,ABBOTT CRITICAL CARE SYSTEMS,SALT LAKE CITY,SALT LAKE,UT,841232584,40.67413,-111.92328,339,Miscellaneous Manufacturing,ETHYLENE OXIDE,000075218,NO,YES,Pounds,2698.0,3966.0,3079,339,,0.0,1
83,2B,1990,84057GNVST1600W,110000468985,GENEVA STEEL LLC,VINEYARD,UTAH,UT,84058,40.297058,-111.734076,331,Primary Metals,NAPHTHALENE,000091203,NO,YES,Pounds,33555.0,0.0,3312,331,,0.0,1
