Chems,CAS,Inert,1/2 Life,Solubility in H2O,MW,Particle,Gas,Phase
CUMENE,98828,,29 hrs,Insoluble,120.19,0,1,Liquid
"2,4-D",94757,,15 days in water,Insoluble,221.03,1,0,Solid
QUINOLINE,91225,,21-160 days (temp dependent),Soluble (at high temps),129.16,0,1,Liquid
NAPHTHALENE,91203,Volatile,8 hours,Insoluble ,128.17,1,0,Solid
PENTACHLOROPHENOL,87865,,60 days,Slightly Soluble,266.3,1,0,Crystals
CREOSOTE,8001589,,,,,,,
TRICHLOROETHYLENE,79016,,7 days,Slightly Soluble,131.38,0,1,liquid
"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",7664939,,10-15 days,Soluble,98.08,0,1,liquid
ETHYLENE OXIDE,75218,,70-150 days,Soluble,44.05,0,1,Gas
DICHLOROMETHANE,75092,,13 hours,Moderately Soluble,84.93,0,1,Liquid
COBALT,7440484,non-volatile,,,,1,0,Course Particle
CADMIUM,7440439,,,,,1,0,Course Particle
NICKEL,7440020,,,,,1,0,Course Particle
LEAD,7439921,,,,,1,0,Course Particle
BENZENE,71432,,3-10 days,Slightly Soluble,78.11,0,1,Liquid
"N,N-DIMETHYLFORMAMIDE",68122,,192 days,Soluble,73.09,0,1,Liquid
CHLOROFORM,67663,,55-620 days,Insoluble ,119.37,0,1,Liquid
FORMALDEHYDE,50000,,1.5 minutes,Soluble,30.026,0,1,Gas
POLYCHLORINATED BIPHENYLS,1336363,,10-15 years,,,,,
MOLYBDENUM TRIOXIDE,1313275,,<24hours,Slightly Soluble,143.9,1,0,Solid
TETRACHLOROETHYLENE,127184,,100 days,Insoluble ,165.8,0,1,Liquid
"1,4-DIOXANE",123911,,3 days,Soluble,88.11,0,1,Liquid
DI(2-ETHYLHEXYL) PHTHALATE,117817,,12 hours,Insoluble ,390.6,0,1,Liquid
DIETHANOLAMINE,111422,,7 days,Soluble,105.14,0,1,Liquid
METHYL ISOBUTYL KETONE,108101,,3-6 years,Slightly Soluble,100.16,0,1,Liquid
"1,2-DICHLOROETHANE",107062,,6 months,Slightly Soluble,98.96,0,1,LIquid
"1,3-BUTADIENE",106990,,6 hours,Insoluble,54.09,0,1,gas
"1,2-DIBROMOETHANE",106934,,1-5 days,Slightly Soluble,187.86,0,1,Liquid
EPICHLOROHYDRIN,106898,,8 days,Slightly Soluble,92.52,0,1,Liquid
"4,4'-METHYLENEDIANILINE",101779,,9-14 hours,Insoluble,198.26,1,0,Solid
STYRENE,100425,,7-16 hrs,Insoluble,104.15,0,1,Liquid
ETHYLBENZENE,100414,,24 hours,Insoluble,106.16,0,1,Liquid
